,Post Datetime,Post Title,Post URL,Neighborhood,Bedroom,SQFT,Price
28,2022-12-10 13:35,Metrotown  2 Bedroom 2 Bath  Beautiful View Apartment,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-bedroom-bath/7564406438.html,Burnaby Metrotown Dunblane Ave,2,786.0,2950
29,2022-12-10 13:34,Burnaby StationSquare 2br2bath 27nd floor for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-stationsquare-2br2bath/7561110691.html,burnaby/newwest,2,,3100
30,2022-12-10 13:34,Metro Suntower2 1Br1Bth Brand-new LOCATION!!,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metro-suntower2-1br1bth-brand/7566116049.html,burnaby/newwest,1,,2850
31,2022-12-10 13:29,"35th Floor:2 BEDROOM/2 BATH+Parking+Locker→Mountain,Water & City Views",https://vancouver.craigslist.org/bnc/apa/d/burnaby-35th-floor2-bedroom/7566171768.html,The Amazing Brentwood → Willingdon Ave and Halifax Way,2,860.0,2895
32,2022-12-10 13:29,"35th Floor:2 BEDROOM/2 BATH+Parking+Locker→Mountain,Water & City Views",https://vancouver.craigslist.org/bnc/apa/d/burnaby-35th-floor2-bedroom/7564750720.html,The Amazing Brentwood → Willingdon Ave and Halifax Way,2,860.0,2895
33,2022-12-10 13:20,Prime Metrotown Station Square  1 bedroom walkable to all,https://vancouver.craigslist.org/bnc/apa/d/burnaby-prime-metrotown-station-square/7556457990.html,4688 Kingsway,1,600.0,2350
34,2022-12-10 13:18,1 bedroom apartment in Metrotown area,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-apartment-in-metrotown/7565498126.html,Metrotown,1,580.0,2500
35,2022-12-10 13:12,Spacious 2 bedroom suite/open living space/in suite laundry,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-spacious-bedroom-suite/7566153516.html,"527 Carnarvon Street, New Westminster, BC",2,665.0,2655
36,2022-12-10 13:01,Two Bedroom Rental Homes at The City of Lougheed (MOVE-IN NOW),https://vancouver.craigslist.org/bnc/apa/d/burnaby-two-bedroom-rental-homes-at-the/7566910653.html,Burnaby (Lougheed,2,833.0,3075
37,2022-12-10 12:55,One Bedroom & Den - Rental Homes at The City of Lougheed,https://vancouver.craigslist.org/bnc/apa/d/burnaby-one-bedroom-den-rental-homes-at/7566910777.html,Burnaby (Lougheed,1,715.0,3055
38,2022-12-10 12:49,Studio - Rental Homes at The City of Lougheed (AVAILABLE NOW),https://vancouver.craigslist.org/bnc/apa/d/burnaby-studio-rental-homes-at-the-city/7566908708.html,Burnaby (Lougheed,,415.0,2475
39,2022-12-10 12:42,3 bedroom 3 bathrooms for rent,https://vancouver.craigslist.org/bnc/apa/d/richmond-bedroom-bathrooms-for-rent/7566907485.html,Burnaby,3,1000.0,3000
40,2022-12-10 12:33,East Burnaby upstairs 3 bedroom for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-east-burnaby-upstairs-bedroom/7562570510.html,Burnaby,3,1600.0,3100
